总时钟周期, Tile Seeker周期, Tile Dispatch周期, Total Cycles, Tile Seeker Work Load, Tile Dispatch Work Load, Mean Tile Decomposer Unit Work Load, Inside Tile Decomposer Work Load, Min Tile Raster Work Load 
3,1,53664,6,1,78,68,60,
3,2,53801,6,1,78,67,60,
3,3,54067,6,1,78,67,60,
3,4,54294,6,1,77,67,59,
3,5,54572,6,1,77,66,59,
3,6,54777,6,1,77,66,59,
3,7,55024,6,1,76,66,59,
3,8,55229,6,1,76,66,58,
4,1,53736,6,1,78,68,60,
4,2,53858,6,1,78,67,60,
4,3,54196,6,1,77,67,59,
4,4,54408,6,1,77,67,59,
4,5,54672,6,1,77,66,59,
4,6,54859,6,1,77,66,59,
4,7,55092,6,1,76,66,58,
4,8,55323,6,1,76,66,58,
5,1,53847,6,1,78,67,60,
5,2,54010,6,1,78,67,60,
5,3,54290,6,1,77,67,59,
5,4,54497,6,1,77,67,59,
5,5,54776,6,1,77,66,59,
5,6,54956,6,1,76,66,59,
5,7,55200,6,1,76,66,58,
5,8,55394,6,1,76,65,58,
6,1,53999,6,1,78,67,60,
6,2,54073,6,1,78,67,60,
6,3,54374,6,1,77,67,59,
6,4,54578,6,1,77,66,59,
6,5,54894,6,1,76,66,59,
6,6,55059,6,1,76,66,59,
6,7,55301,6,1,76,65,58,
6,8,55523,6,1,76,65,58,
7,1,54050,6,1,78,67,60,
7,2,54185,6,1,77,67,59,
7,3,54461,6,1,77,67,59,
7,4,54654,6,1,77,66,59,
7,5,54961,6,1,76,66,59,
7,6,55205,6,1,76,66,58,
7,7,55360,6,1,76,65,58,
7,8,55637,6,1,75,65,58,
8,1,54143,6,1,78,67,60,
8,2,54292,6,1,77,67,59,
8,3,54570,6,1,77,67,59,
8,4,54770,6,1,77,66,59,
8,5,55052,6,1,76,66,59,
8,6,55276,6,1,76,66,58,
8,7,55470,6,1,76,65,58,
8,8,55713,6,1,75,65,58,
